Urdu,Roman Urdu
آباد,aabaad
آبرو,aabru
آپ,aap
آداب,aadaab
آدمی,aadmi
آدمیت,aadmiyyat
آرا,aaraa
آرام,aaraam
آرزو,aarzoo
از,aaz
اس,aas
آسان,aasaan
آسمان,aasmaan
آگ,aag
آنسو,aansoo
آواز,aawaaz
ابتداءً,ibtidaa
ابتر,abtar
اتحاد,ittihaad
اتفاق,ittifaaq
اٹک,atak
اثر,asar
اجازت,ijaazat
اجنبی,ajnabee
احتیاط,ihtiyaat
احساس,ihsaas
احسان,ihsaan
اخبار,akhbaar
اختیار,ikhtiyaar
ادا,adaa
ادراک,idraak
ادب,adib
عرض,arz
اساس,asaas
اسباب,asbaab
استاد,ustaad
اشتہار,ishtihaar
اصل,asl
اصلی,asli
اضطراب,iztiraab
افراط,ifraat
افسوس,afsos
اقبال,iqbaal
اقرار,iqraar
اکبر,akbar
اکثر,aksar
اگر,agar
ال,al
امانت,amaanat
امتیاز,imtiyaaz
امید,ummid
انتقام,intiqaam
انجام,anjaam
انجمن,anjuman
انسان,insaan
انکار,inkaar
اوقات,auqaat
باب,baab
بات,baat
بعد,baad
بادل,baadal
بارش,baarish
باریک,baareek
باز,baaz
بازار,baazaar
بازو,baazoo
بازی,baazi
باغ,baagh
باقی,baaqee
بام,baam
بانکا,baankaa
بحث,bahs
بخار,bukhaar
بخت,bakht
بدل,badal
برابر,baraabar
برداشت,bardaasht
برسات,barsaat
برکت,barkat
بزرگ,buzurg
بس,bas
بستر,bistar
بسیرا,baseraa
بشر,bashar
بغاوت,baghaawat
بغل,baghal
بنیاد,bunyaad
بہادر,bahaadur
بے ادب,be adab
بےچین,be chain
بے خبر,be khabar
بے داغ,be daagh
بے درد,be dard
بے رحم,be rahm
بے ریا,be riyaa
بے زبان,be zabaan
بے شرم,be sharm
بے صبر,be sabr
بے فکر,be fikr
بے کار,be kaar
بے وقوف,be waqoof
بیان,bayaan
بیزار,bezaar
بیمار,bimaar
پار,paar
پاس,paas
پاسبان,paas baan
پاک,pak
پاگل,paagal
پانی,paani
پرورش,parwarish
پریشان,pareshaan
پسند,pasand
پشیمان,pashemaan
پل,pal
پلک,palak
پیغام,paighaam
پیمان,paimaan
تاج,taj
تاریخ,taarikh
تاک,taak
تبدیل,tabdeel
تخت,takht
ترس,tars
ترکیب,tarkeeb
تصور,tasawwur
تقدیر,taqdeer
تکلیف,takleef
تمام,tamaam
تیر,teer
تیز,tez
ٹپکنا,tapaknaa
ٹکر,takkar
ٹوٹ,toot
ثابت,saabit
ثقافت,siqaafat
جادو,jaadu
جاگیر,jaagir
جاہل,jaahil
جدا,judaa
جدائی,judaaee
جستجو,justjoo
جسم,jism
جشن,jashn
جال,jal
جگر,jigar
جنت,jannat
جنگ,jang
جواب,jawaab
جوش,josh
جہاز,jahaaz
چادر,chaadar
چاقو,chaaqoo
چال,chaal
چراغ,charaagh
چمک,chamak
چند,chand
چیز,cheez
چین,chain
حاضر,haazir
حاکم,haakim
حال,haal
حالت,haalat
حرام,haraam
حساب,hisaab
حسین,haseen
حضرت,hazrat
حفاظت,hifaazat
حقیقت,haqeeqat
حکم,hukm
حکمت,hikmat
حیثیت,haiseeyat
خاص,khaas
خاک,khaak
خالص,khaalis
خام,khaam
خاموش,khaamosh
خاندان,khaandaan
خبر,khabar
خدا,khuda
خراب,kharaab
خشک,khushk
خنجر,khanjar
خواب,khwaab
خود,khood
خوش,khoosh
خون,khoon
خیال,khayaal
داد,daad
داستان,daastaan
داغ,daagh
دامن,daaman
دراز,daraaz
درد,dard
درس,dars
درست,durust
درشت,durusht
درمیان,darmiyan
دریا,darya
دستور,dastoor
دشمن,dushman
دشوار,dushwaar
دل,dil
دلبر,dilbar
دلچسپ,dil chasp
دلسوز,dil soz
دلفریب,dil fareb
دلکش,dil kash
دماغ,dimaagh
دنیا,dunyaa
دور,door
دوست,dost
دولت,daulat
دیوار,deewaar
ذاتی,zaati
ذکر,zikr
راز,raaz
سچا,raast
رحم,rahm
رخسار,rukhsaar
رسم,rasm
رفتار,raftaar
رفیق,rafeeq
رقیب,raqeeb
رنگ,rang
ریشم,resham
زبان,zabaan
زحمت,zahmat
زخم,zakhm
زکام,zukaam
زمین,zameen
زنجیر,zanjeer
زندگی,zindagi
ساحل,saahil
ساز,saaz
ساقی,saaqee
سال,saal
سامان,saamaan
سانس,saans
سحر,sahar
سخت,sakht
سر,sar
سزا,sazaa
سست,sust
سفارش,sifaarish
سفر,safar
سفید,safed
سوال,sawaal
سونا,soona
شاخ,shaakh
شاگرد,shaagird
شام,shaam
شامل,shaamil
شان,shaan
شہتیر,shaahtir
شبنم,shabnam
شراب,sharaab
شرافت,sharaafat
شرط,shart
شرم,sharm
شروع,shuroo
شیر,shir
شکار,shikaar
شکر,shukr
شکل,shakl
شمشیر,shamsher
شوخ,shokh
شوق,shauq
شہر,shahr
شہید,shaheed
شیخی,shekhi
صاف,saaf
صحبت,suhbat
صدر,sadr
ضابط,zaabit
حواله,zaamin
ضرب,zarb
ضرور,zaroor
ضرورت,zaroorat
ضمانت,zamaanat
ضمیر,zameer
طاقت,taaqat
طرف,taraf
تان,tan
طلب,talab
طوفان,toofaan
ظالم,zaalim
ظلم,zulm
عاجز,aajiz
عادت,aadat
عادل,aadil
عاقبت,aaqibat
عالم,aalam
علم,aalim
عبارت,ibaarat
عجب,ajab
عجیب,ajeeb
عدالت,adaalat
عذاب,azaab
عزت,izzat
عزیز,azeez
عظیم,azeem
آلت,illat
امر,umr
عوام,awaam
عورت,aurat
عیاش,aiyaash
غبار,ghubaar
غدّار,ghaddaar
غرض,gharaz
غرور,ghuroor
غریب,gharib
غزل,ghazal
غفلت,ghaflat
غلط,ghalat
غلیظ,ghaleez
غیر,ghair
فاضل,faazil
فرض,farz
فرق,farq
فرمان,farmaan
فریاد,faryaad
فریب,fareb
فضا,faza
فطرت,fitrat
فکر,fikr
فوج,fauj
فہم,fahm
قابل,qaabil
قاتل,qaatil
قانون,qaanoon
قبر,qabr
قبول,qubool
قتل,qatl
قدم,qadam
قربان,qurbaan
قریب,qareeb
داغنے کا لوها,qasam
قسمت,qismat
قوم,qaum
قید,qaid
قیمت,qeemat
مہم,kaar
کارواں,kaarwaan
کاغذ,kaaghaz
کافر,kaafir
کافی,kaafi
کام,kaam
کامران,kaamraan
کبوتر,kabootar
کتاب,kitaab
کثرت,kasrat
کرم,karam
کشتی,kashti
کشش,kashish
کفر,kufr
کل,kul
کمزور,kamzor
کمال,kamaal
بو,kamaan
کمر,kamar
کمی,kamee
کوشش,koshish
کیف,kaif
کیفیت,kaifiyyat
گراں,giraan
گردش,gardish
گرفتار,giriftaar
گرم,garm
گفتگو,guftgoo
گل,gul
غائب,gum
گمنام,gum naam
گمان,gumaan
گوارا,gawaaraa
گانے والی,goyaa
لغت,lughat
لفظ,lafz
لیاقت,liyaaqat
ماحول,maa haul
ماتم,maatam
مال,maal
مالک,maalik
مایوس,maayoos
مجرم,mujrim
مجروح,majrooh
محافظ,muhaafiz
محبت,mahabbat
محتاج,muhtaj
محجوب,mahjoob
محدود,mahdood
محفل,mahfil
محفوظ,mahfooz
مختصر,mukhtasar
مخمل,makhmal
مدد,madad
مرد,mard
مریض,mareez
مزاج,mizaaj
مسافر,musaafir
مشکل,mushkil
مشہور,mashhoor
مصیبت,museebat
مضبوط,mazboot
مطلب,matlab
مغرور,maghroor
مفت,muft
مفلس,muflis
مفید,mufeed
مقابل,muqaabil
مقام,maqaam
مقدّم,muqaddam
مقرر,muqarrar
مقصد,maqsad
مکار,makkaar
مکان,makaan
ملک,mulk
ممتاز,mumtaaz
ممکن,mumkin
مناسب,munaasib
منزل,manzil
منظر,manzar
منظور,manzoor
موت,maut
موجود,maujood
موسم,mausam
موقع,mauqa
موم,mom
مہاجر,muhaajir
مہمان,mihmaan
میدان,maidaan
ناتمام,naa tamaam
نافرمان,naa farmaan
ناکام,naa kaam
نا ممکن,naa mumkin
ناچ,naach
ناخن,naakhun
نازک,naazuk
ناک,naak
نالش,naalish
نام,naam
نرم,narm
نزاکت,nazaakat
نزدیک,nazdeek
نسبت,nisbat
نشان,nishaan
نصیحت,naseehat
نظام,nizaam
نقش,naqsh
نقصان,nuqsaan
نقل,naql
نماز,namaaz
نو,nau
نم,nim
واحد,waahid
واردات,waaridaat
وجود,wujood
وزن,wazn
وضاحت,wazaahat
وفا,wafaa
وقت,waqt
وکیل,wakeel
ویران,weeraan
ویرانی,weeraani
یا,yaa
یادگار,yaad gaar
یاقوت,yaaqoot
یتیم,yateem
ٹيرن,turn
جوﻻٔي,july
انفو,info
چیکو,chekoo5
ون,one
پڑے,pare
پول,pol
نونی,none
کرتی,krti
کیجیے,kejye
روپا,roopa
الليرنگ,alluring
قبض,qbz
مررید,married
سادگی,saadgimeri
بھنگ,bhang
میں,main
١٠٠٠,1000
نھیں,nahi
لاسٹنگ,lasting
فلوير,flower
جیب,jaib
شکست,shikast
نگری,nagri
سہیل,sohail
ریبل,rebel
مطالعہ,mutala
رنجش,ranjish
جیتنے,jety
گوریلا,goreela786ali
باہر,bahir
پيوپل,people
پکایا,pakaya
بھٹکنے,bhataknay
اٹھیں,uthen
بوجھ,bojh
سانی,sani
سیا,saya
اصول,asool
مہتاب,mhtab
ٹھنڈا,thanda
لگنا,lagna
لڑنے,lrny
کتابوں,kitabon
جيسٹس,justice
مارتے,marty
کمانڈ,command
رکھتی,rakhti
اکیلے,akele
رابی,rabi
یر,yr
دتا,dita
ریجیکٹ,reject
چاغی,chaghi1islamabd
ه,hyye
لوہے,lohe
امجد,amjid
رکهتے,rakhte
رانجھے,ranjhay
بیٹری,bettary
ٹوڈے,today
سری,sari
مسالا,masala
تنہا,tanha
سانڈے,sunday
الینا,alin8
ہاته,hath
حضرات,hzrat
بابا,baba
طنز,tanz
پيٹرول,petrol
وابسطہ,wabasta
سادے,side
لمحوں,lamhon
مورگن,morgunmeri
تصو,taso
ابسنس,absence
۱,1
بھر,bhar
نیکی,neki
یاران,yaraan
دلاتا,dlata
سردار,srdar
پکڑنے,pkrnay
بیچارے,bichare
پاگلوں,paglon
لینا,lena
انڈر,undrwere
رومںٹک,romantic
ڈانٹ,dant
یزید,yazeed
وپپريسون,oppression
کپڑوں,kapro
هال,hal
آصف,asif
ٹیم,team
دورانی,duarani
سمجھو,smjho
دوبارہ,dobara
چیزوں,chezon
کہو,kaho
مسکرا,muskra
حیا,haya
گلوبل,global
ریما,rema
بیٹھو,betho
کھاتے,khaty
کتا,kuta
میمن,memon
بیٹه,baith
تو,to
توڑنا,torna
ہوگئی,hogi
باهر,bahar
بچپن,bachpan
ٹھنڈی,thandi
بجتی,bajti
خوا,khwa
کوالٹي,quality
انسورريکٹ,incorrect
برتن,brtan
مسکت,mscit
ملو,milo
دعوا,dawaa
دروازے,drwazay
پلے,playboy
خمینی,khumaini
يسيفيل,useful
خوابوں,khwabon
کونفرم,confirm
جولائی,july
ممبر,membr
بہنا,behna
عام,aam
گرمی,garmi
سٹورم,storm
لوٹو,loto
کرسی,kursi
انڈو,ando
ورڈ,wrd
بولیں,bolen
پکانے,pakaane
اپکو,apko
ورگنال,original
جھٹ,jhot
انتظام,intazam
بھای,bhai
سیکھے,sekhy
قاسم,qasim
واٹر,water
چو,choo
ونگ,wang
نوشی,noshee
غمگین,ghamgeen
جانتے,jante
آوٹ,out
ہسبنڈ,husband
ان,un
کاش,kash
پھیلی,paheli
کیللر,killer
ٹیلی,telenor
اکیلی,akeli
دکھایا,dukhaya
ساره,sara
ٹابل,table
گجرانوالا,gujranwala
لاٹر,later
مزدور,mazdoor
اڑی,ari
ملتے,milte
شد,shid
اسے,usay
آخر,akhir
جذبات,jazbat
چوہدری,ch
مربی,mrb
آہن,aahn
برفی,barfee
بتانا,btana
زیوس,zeus
رھا,raha
گیاہ,gaya
آلات,aalaat
دہلیز,dehleez
يير,year
پنگا,panga
اوبیڈی,e
نیو,new
چیک,chek
کوکا,coca
سڑکوں,sarkon
سنڈے,sunday
شخص,shakhs
وکيپي,occupy
بدی,budai
کیٹی,kiti
ہنسا,hansa
معلوم,maloom
گری,giri
سیریل,seriali
پنجاب,punjab
لاذي,lazy
عزتی,bazti
گڑھی,garhi
تسی,tusi
توں,tu
٢٨,28
ذيرو,zero
سنبھال,sanbhal
بحرانی,behrani
لکیریں,lakeerain
نپال,nepal
ہاں,han
انوگف,enough
نوٹس,notice
٣٠٠,300
سنار,sinar
16,16
مردوں,mardon
بیٹی,beti
ساجن,sajan
ہارٹ,heart
نيمبير,number
بیت,beet
کمار,kumar
اٹھایا,uthaya
نیلم,neelam
مارکیٹ,market
ٹونگيي,tongue
روزانہ,rozana
ممبرز,membrz
پڑھنے,parhne
کما,kamaw
بیٹے,bety
اکسيس,access
بیوٹی,beauty
ستا,sta
پختون,pukhtoonkhva
وہے,wahey
یارر,yar
پڑتی,parti
لوھا,loha
باتھ,bath
ادھو,adhora
بیکار,bekar
ماؤں,maaon
ہبہ,hbh
وو,wo
دیکھو,dekho
هونے,hone
یاد,yad
لطف,lutf
زبانی,zubani
بجلی,bijli
انکليڈي,include
سا,sa
گانے,gane
احوال,ahwal
پکانا,pakana
تازی,tazi
کہنے,kehne
ممبروں,membro
رید,reed
حرا,hira
رکھو,rakho
نہر,nehr
بریانی,baryani
جایا,jaya
نادانی,nadani
هوتا,hota
کھلے,khuley
کوٹ,kot
ساں,san
مینس,means
اليرٹ,alert
چٹنی,chatni
ہجوم,hajoomedostan
1,1
دروغ,darogh
شیعہ,sheya
اللاه,allah
خاکی,khake
لیفٹ,lift
عمران,imran
بھری,bhari
تلاش,talash
بت,bt
انتھ,an
ھوا,hua
حاصل,hasil
بوڈی,body
لکھیں,likhen
ہان,han
واجب,wajib
فیصل,faisal
شانت,shanti
واپڈا,wapda
کب,kb
سہا,sahara
ہمدرد,humdard
مارري,marry
نظارے,nazarechopal
روبرو,rubaro
آسودگی,aasoodgi
گنے,gine
اداس,udas
تاکہ,ta
ناواقف,nawaqif
ھاتھ,hath
راس,ras
ريميمبير,remember
دادی,dadi
کومپلٹ,complete
غیروں,ghairon
نکلے,nikle
مرسی,mercy7halka
ہاتے,hate
پٹھانوں,pathano
١٠,10
کفایت,kafiyat
ہی,hi
چوزہ,choza
لیڈی,ledy
ملیں,milenge
چاہتے,chahte
رہتا,rehta
ریکوسٹ,request
ميمون,memon
گرین,green
آرہی,a
فور,for
محمّد,m
سی,c
آپس,aps
کیو,q
جناب,janab
ٹھہرو,thehro
علان,ilaan
ذی,zy
جینی,jenai
وعدہ,wada
ردا,rida
اٹھا,utha
وسلام,wasalam
حجرے,hujre
چاند,chand
ستوں,ston
بے,be
فري,free
طرار,traz
صرف,sirf
دھونی,dhoni
ببلی,bubli
چارم,charming
۱۹۹۹,1999
کہن,khan
آنچ,aanch
حسب,hasb
گريف,grief
کھیلی,kheli
ذيل,zeal
تاڑ,taar
سومرا,somra
کينٹري,country
اپن,apun
تھرٹي,thirty
١٤,14
فارغ,farag
پیس,peace
ٹریٹ,treat
سینگ,seng
سلینتھ,silent
لونگی,loun
ونڈو,window
شھد,shahd
ربیکا,rabica
وہیلر,whealr
کوپی,copy
٧,7
انڈیا,india
ویل,wel
دفع,dafa
قبولیت,qaboliat
وادي,wadi
راحت,rahat
رپورٹ,report
حدیثِ,hadees
مزاحیہ,mzahya
شون,shown
سینے,sene
شریف,shareef
عدنان,adnan
تمھاری,tmhari
زیل,zeal
شي,she
پریشانی,pryshani
انو,suno
شادابی,shadabitumhein
مینے,mene
بڑی,bari
کپڑے,kapre
ہما,huma
دونٹ,dont
ر,r
شادی,shadi
چوریاں,choriyan
سٹانڈ,stand
انیس,anis
سالی,sali
ٹوٹا,tota
30,30
ساما,saima
دوزخی,dozkhi
حوٹ,hot
عباس,abass
لیتے,letay
سونیا,sonia
جتنے,jitne
بجھا,bujha
فاحيم,faheem
گانا,gana
روتا,rota
بتایا,btaya
آس,aas
سٹين,stain
گرلس,girls
اسکا,uska
منٹ,mint
طاہر,tahir
انجيسٹس,injustice
نفرتوں,nafratonka
گیٹ,getsensiblehi
آیا,aya
مہندی,mehndi
پہنچ,pohanch
رهی,rhi
ميرے,mere
فاملي,family
جے,j
نیچے,nechy
بوڑھی,borhi
منيٹي,minute
بین,behn
گہری,gehri
بال,bal
دانت,dant
سنسیر,sincere
کرٹين,curtain
دونوں,dono
سمجھایا,samjhaya
هے,hai
شہرت,shuhrat
مات,maat
جوي,joy
دیکھتے,dekhte
بجانا,bjana
آبی,aabi
افغانستان,afghanistan
ہونا,hona
پسی,pseibbpu
بیہودہ,behoda
والسلام,w
گوم,gum
نان,nan
کھا,kha
عمل,amal
کھڑا,khara
آں,aan
ازاں,azaan
جذب,jazb
اٹھتے,uthte
ٹانگیں,tangy
پھولوں,phoolon
ویسے,wese
پڑھاتا,parhata
بورن,born2love
کڑیاں,kuriyan
پاکستانی,pakistani
جتنا,jitna
پوانٹ,point
لال,laal
ستاروں,sitaron
بدنصیب,badnasib
تھنگ,thing
سرکار,sarkar
خو,khu
پينچ,punch
مانند,maanind
ڈرنا,drna
خیالوں,khayalon
شو,shoo
کروٹ,krwat
مانگا,manga
راب,rab
کري,cry
بوبی,boby786
ہنی,honey
بنک,bunk
برو,bro
حيرڈ,heard
اسم,asim
پرانا,purana
سييڈ,syed
ریپلاے,reply
حو,ho
گجرات,gujraat
شدید,shadeed
جاتا,jata
سکتی,sakti
بیا,bia
ح,happy
انکنون,unknown
اظہار,izhaar
جاننا,janna
جانے,jane
وار,waar
موہ,mo
نیٹورک,network
بھیجا,bheja
لؤڈ,load
بیٹا,beta
کہانی,kahani
تمہارے,tumhary
سیند,send
آنی,ani
آونگا,aaoonga
یکی,yaki
چا,cha
سہارا,sahara
ہرٹ,hurt
نعش,nasha
ادھورے,adhore
پاتی,pati
پهر,phr
دھمال,dhammal
نها,naha
بابر,baber
ستاس,stas
آدھی,adhi
کرنا,krna
چلا,chala
شباب,shabab
دوزخ,dozakh
کاندهار,kandhar
ہیروز,heroz
غار,ghar
بولنے,bolne
مارنے,marne
فنڈ,find
کالا,kala
حالات,halaat
لیتی,leti
وکٹوں,wicto
خلوص,khaloos
شارق,shariq
روکی,roki
آجاتا,ajata
سان,saani
غور,ghour
محبوب,maheboob
بیچتا,bechta
لڑکی,larki
بیٹھے,bethe
سیکھ,seekh
سخی,sakhi
دھوپ,dhoop
مورخہ,morkha
پرندے,parinde
دیکھوں,dekhun
دیرا,dera
تمکو,tumko
بروتھر,brother
دکھا,dikha
عزاب,azab
گزرا,guzra
اڑتے,6urte
لگاو,lagao
پیو,pio
زنگو,zingoo
با,ba
گھوڑا,ghora
باطل,batil
مٹھا,mutha
روح,rooh
بننا,banna
پڑھی,parhi
ڈرٹی,durtyguy345
را,raat
ٹھوکر,thokar
ہزار,hazar
نالی,naali
یہیں,yhi
حبیب,habibjaan
جوف,jauf
ظاہر,zahir
ہیلتھ,health1
تين,teen
واٹ,wat
دھم,dhammal
سٹارز,starz
گرمیوں,garmiyon
پیاسا,pyasa
تفری,tafre
چاہتی,chahti
موہر,mohar
چاہوگے,chahoge
حي,he
مونڈے,monday
سہی,sahi
سکھا,sikha
فہیم,fahim
صفدر,safdr
سلطان,sultan
عارضی,aarzi
سورج,suraj
گیت,geet
سودا,soda
وضاحتیں,wazahteinkesi
انٹری,entery
مونا,muna
کھاکر,khakar
رول,rule
اہم,ahem
چنو,chuno
دیو,daiyo
تارے,tare
اڑ,urr
دورہ,dora
چلیں,chlen
پاسٹ,past
انے,aane
جيلي,july
مہنگائی,mehngai
مخالفت,mukhalfat
کرکيٹ,cricket
ینجوے,enjoy
ريپورٹ,report
پشت,pusht
گنتی,ginty
اردو,urdu
تھن,thin
طالب,talib
ھوگا,hoga
کراچی,karachi
فاروق,farooq
مولا,mola
وین,whenevr
پرنٹ,print
خلاد,khiladi
کرو,kro
چوک,chocklate
گولیاں,goliyan
فورس,force
انگ,ang
حمو,humor
اسلی,isly
سب,sb
آفٹر,aftr
ييل,yell
يٹس,etc
سول,soulzy
گاوں,gaaon
نکلنا,nklne
تیاری,tayari
ہاہا,hahahahahaha
مورنگ,morning
بزم,bazm
اپپيرانس,appearance
گالی,gali
گوسٹ,ghost
جدو,jado
ٹانگوں,tango
کیا,kya
ڈھلی,dhali
امام,imam
جنهوں,jinho
ارین,aryan
وہی,wohi
فيرنٹير,furniture
ونلي,only
آب,ab
پرسونل,personal
نگاہیں,nigahein
سمیٹ,samait
اٹھے,uthe
گلیوں,galyon
کہی,kahi
ملنا,milna
کهانا,khana
سہیلی,sahilli
بھی,b
گرانڈ,grand
براڈکاسٹ,broadcast
نگاہ,nigah
الان,elan
کہا,kaha
غير,ghair
حوالے,hawale
سوتے,soty
توڑنے,torny
فيسال,faisal
هيں,hain
شانہ,shana
سکون,sukun
کامیاب,kaamyab
نٹ,nt
چوری,chori
تیل,tel
بوکس,books4
فلور,floor
ملاتے,milatay
ہوش,hushe
دیکھنے,dekhny
ارضی,arzi
جون,jaaun
بوجھل,bojhal
غلام,gulam
کنارا,kinara
لاس,laso
خادم,khadim
پیا,pia
لامپ,lamp
اتنا,itna
جھوٹے,jhote
الوايز,always
موٹر,motor
کشمیر,kashmir
سچح,such
چاول,chawal
بورنگ,borng
آزاد,azad
حورسي,horse
بھاگ,bhag
٤٢,42
مروا,marwa
ادھ,adhi
انگور,angoor
